"id","nameaffiliation","title","doi","year","citations","authors","inb_grant"
"5401","Barcelona Supercomputing Center (BSC-CNS)","Comparative genome and proteome analysis of Anopheles gambiae and Drosophila melanogaster.","10.1126/science.1077061","2002","316","Evgeny M Zdobnov, Christian von Mering, Ivica Letunic, David Torrents, Mikita Suyama, Richard R Copley, George K Christophides, Dana Thomasova, Robert A Holt, G Mani Subramanian, Hans-Michael Mueller, George Dimopoulos, John H Law, Michael A Wells, Ewan Birney, Rosane Charlab, Aaron L Halpern, Elena Kokoza, Cheryl L Kraft, Zhongwu Lai, Suzanna Lewis, Christos Louis, Carolina Barillas-Mury, Deborah Nusskern, Gerald M Rubin, Steven L Salzberg, Granger G Sutton, Pantelis Topalis, Ron Wides, Patrick Wincker, Mark Yandell, Frank H Collins, Jose Ribeiro, William M Gelbart, Fotis C Kafatos, Peer Bork","No"
"5402","Barcelona Supercomputing Center (BSC-CNS)","Enterotypes of the human gut microbiome.","10.1038/nature09944","2011","1691","Manimozhiyan Arumugam, Jeroen Raes, Eric Pelletier, Denis Le Paslier, Takuji Yamada, Daniel R Mende, Gabriel R Fernandes, Julien Tap, Thomas Bruls, Jean-Michel Batto, Marcelo Bertalan, Natalia Borruel, Francesc Casellas, Leyden Fernandez, Laurent Gautier, Torben Hansen, Masahira Hattori, Tetsuya Hayashi, Michiel Kleerebezem, Ken Kurokawa, Marion Leclerc, Florence Levenez, Chaysavanh Manichanh, H Bjørn Nielsen, Trine Nielsen, Nicolas Pons, Julie Poulain, Junjie Qin, Thomas Sicheritz-Ponten, Sebastian Tims, David Torrents, Edgardo Ugarte, Erwin G Zoetendal, Jun Wang, Jun Wang, Francisco Guarner, Oluf Pedersen, Willem M de Vos, Søren Brunak, Joel Doré, María Antolín, François Artiguenave, Hervé M Blottiere, Mathieu Almeida, Christian Brechot, Carlos Cara, Christian Chervaux, Antonella Cultrone, Christine Delorme, Gérard Denariaz, Rozenn Dervyn, Konrad U Foerstner, Carsten Friss, Maarten van de Guchte, Eric Guedon, Florence Haimet, Wolfgang Huber, Johan van Hylckama-Vlieg, Alexandre Jamet, Catherine Juste, Ghalia Kaci, Jan Knol, Omar Lakhdari, Severine Layec, Karine Le Roux, Emmanuelle Maguin, Alexandre Mérieux, Raquel Melo Minardi, Christine M'rini, Jean Muller, Raish Oozeer, Julian Parkhill, Pierre Renault, Maria Rescigno, Nicolas Sanchez, Shinichi Sunagawa, Antonio Torrejon, Keith Turner, Gaetana Vandemeulebrouck, Encarna Varela, Yohanan Winogradsky, Georg Zeller, Jean Weissenbach, S Dusko Ehrlich, Peer Bork","No"
"5403","Barcelona Supercomputing Center (BSC-CNS)","Non-type I cystinuria caused by mutations in SLC7A9, encoding a subunit (bo,+AT) of rBAT.","10.1038/12652","1999","114","L Feliubadaló, M Font, J Purroy, F Rousaud, X Estivill, V Nunes, E Golomb, M Centola, I Aksentijevich, Y Kreiss, B Goldman, M Pras, D L Kastner, E Pras, P Gasparini, L Bisceglia, E Beccia, M Gallucci, L de Sanctis, A Ponzone, G F Rizzoni, L Zelante, M T Bassi, A L George, M Manzoni, A De Grandi, M Riboni, J K Endsley, A Ballabio, G Borsani, N Reig, E Fernández, R Estévez, M Pineda, D Torrents, M Camps, J Lloberas, A Zorzano, M Palacín","No"
"5405","Barcelona Supercomputing Center (BSC-CNS)","Genome sequence of the Brown Norway rat yields insights into mammalian evolution.","10.1038/nature02426","2004","1033","Richard A Gibbs, George M Weinstock, Michael L Metzker, Donna M Muzny, Erica J Sodergren, Steven Scherer, Graham Scott, David Steffen, Kim C Worley, Paula E Burch, Geoffrey Okwuonu, Sandra Hines, Lora Lewis, Christine DeRamo, Oliver Delgado, Shannon Dugan-Rocha, George Miner, Margaret Morgan, Alicia Hawes, Rachel Gill, Robert A Holt, Mark D Adams, Peter G Amanatides, Holly Baden-Tillson, Mary Barnstead, Soo Chin, Cheryl A Evans, Steve Ferriera, Carl Fosler, Anna Glodek, Zhiping Gu, Don Jennings, Cheryl L Kraft, Trixie Nguyen, Cynthia M Pfannkoch, Cynthia Sitter, Granger G Sutton, J Craig Venter, Trevor Woodage, Douglas Smith, Hong-Mei Lee, Erik Gustafson, Patrick Cahill, Arnold Kana, Lynn Doucette-Stamm, Keith Weinstock, Kim Fechtel, Robert B Weiss, Diane M Dunn, Eric D Green, Robert W Blakesley, Gerard G Bouffard, Pieter J De Jong, Kazutoyo Osoegawa, Baoli Zhu, Marco Marra, Jacqueline Schein, Ian Bosdet, Chris Fjell, Steven Jones, Martin Krzywinski, Carrie Mathewson, Asim Siddiqui, Natasja Wye, John McPherson, Shaying Zhao, Claire M Fraser, Jyoti Shetty, Sofiya Shatsman, Keita Geer, Yixin Chen, Sofyia Abramzon, William C Nierman, Paul H Havlak, Rui Chen, K James Durbin, Amy Egan, Yanru Ren, Xing-Zhi Song, Bingshan Li, Yue Liu, Xiang Qin, Simon Cawley, Kim C Worley, A J Cooney, Lisa M D'Souza, Kirt Martin, Jia Qian Wu, Manuel L Gonzalez-Garay, Andrew R Jackson, Kenneth J Kalafus, Michael P McLeod, Aleksandar Milosavljevic, Davinder Virk, Andrei Volkov, David A Wheeler, Zhengdong Zhang, Jeffrey A Bailey, Evan E Eichler, Eray Tuzun, Ewan Birney, Emmanuel Mongin, Abel Ureta-Vidal, Cara Woodwark, Evgeny Zdobnov, Peer Bork, Mikita Suyama, David Torrents, Marina Alexandersson, Barbara J Trask, Janet M Young, Hui Huang, Huajun Wang, Heming Xing, Sue Daniels, Darryl Gietzen, Jeanette Schmidt, Kristian Stevens, Ursula Vitt, Jim Wingrove, Francisco Camara, M Mar Albà, Josep F Abril, Roderic Guigo, Arian Smit, Inna Dubchak, Edward M Rubin, Olivier Couronne, Alexander Poliakov, Norbert Hübner, Detlev Ganten, Claudia Goesele, Oliver Hummel, Thomas Kreitler, Young-Ae Lee, Jan Monti, Herbert Schulz, Heike Zimdahl, Heinz Himmelbauer, Hans Lehrach, Howard J Jacob, Susan Bromberg, Jo Gullings-Handley, Michael I Jensen-Seaman, Anne E Kwitek, Jozef Lazar, Dean Pasko, Peter J Tonellato, Simon Twigger, Chris P Ponting, Jose M Duarte, Stephen Rice, Leo Goodstadt, Scott A Beatson, Richard D Emes, Eitan E Winter, Caleb Webber, Petra Brandt, Gerald Nyakatura, Margaret Adetobi, Francesca Chiaromonte, Laura Elnitski, Pallavi Eswara, Ross C Hardison, Minmei Hou, Diana Kolbe, Kateryna Makova, Webb Miller, Anton Nekrutenko, Cathy Riemer, Scott Schwartz, James Taylor, Shan Yang, Yi Zhang, Klaus Lindpaintner, T Dan Andrews, Mario Caccamo, Michele Clamp, Laura Clarke, Valerie Curwen, Richard Durbin, Eduardo Eyras, Stephen M Searle, Gregory M Cooper, Serafim Batzoglou, Michael Brudno, Arend Sidow, Eric A Stone, J Craig Venter, Bret A Payseur, Guillaume Bourque, Carlos López-Otín, Xose S Puente, Kushal Chakrabarti, Sourav Chatterji, Colin Dewey, Lior Pachter, Nicolas Bray, Von Bing Yap, Anat Caspi, Glenn Tesler, Pavel A Pevzner, David Haussler, Krishna M Roskin, Robert Baertsch, Hiram Clawson, Terrence S Furey, Angie S Hinrichs, Donna Karolchik, William J Kent, Kate R Rosenbloom, Heather Trumbower, Matt Weirauch, David N Cooper, Peter D Stenson, Bin Ma, Michael Brent, Manimozhiyan Arumugam, David Shteynberg, Richard R Copley, Martin S Taylor, Harold Riethman, Uma Mudunuri, Jane Peterson, Mark Guyer, Adam Felsenfeld, Susan Old, Stephen Mockrin, Francis Collins","No"
"5406","Barcelona Supercomputing Center (BSC-CNS)","Initial sequencing and comparative analysis of the mouse genome.","10.1038/nature01262","2002","3337","Robert H Waterston, Kerstin Lindblad-Toh, Ewan Birney, Jane Rogers, Josep F Abril, Pankaj Agarwal, Richa Agarwala, Rachel Ainscough, Marina Alexandersson, Peter An, Stylianos E Antonarakis, John Attwood, Robert Baertsch, Jonathon Bailey, Karen Barlow, Stephan Beck, Eric Berry, Bruce Birren, Toby Bloom, Peer Bork, Marc Botcherby, Nicolas Bray, Michael R Brent, Daniel G Brown, Stephen D Brown, Carol Bult, John Burton, Jonathan Butler, Robert D Campbell, Piero Carninci, Simon Cawley, Francesca Chiaromonte, Asif T Chinwalla, Deanna M Church, Michele Clamp, Christopher Clee, Francis S Collins, Lisa L Cook, Richard R Copley, Alan Coulson, Olivier Couronne, James Cuff, Val Curwen, Tim Cutts, Mark Daly, Robert David, Joy Davies, Kimberly D Delehaunty, Justin Deri, Emmanouil T Dermitzakis, Colin Dewey, Nicholas J Dickens, Mark Diekhans, Sheila Dodge, Inna Dubchak, Diane M Dunn, Sean R Eddy, Laura Elnitski, Richard D Emes, Pallavi Eswara, Eduardo Eyras, Adam Felsenfeld, Ginger A Fewell, Paul Flicek, Karen Foley, Wayne N Frankel, Lucinda A Fulton, Robert S Fulton, Terrence S Furey, Diane Gage, Richard A Gibbs, Gustavo Glusman, Sante Gnerre, Nick Goldman, Leo Goodstadt, Darren Grafham, Tina A Graves, Eric D Green, Simon Gregory, Roderic Guigó, Mark Guyer, Ross C Hardison, David Haussler, Yoshihide Hayashizaki, LaDeana W Hillier, Angela Hinrichs, Wratko Hlavina, Timothy Holzer, Fan Hsu, Axin Hua, Tim Hubbard, Adrienne Hunt, Ian Jackson, David B Jaffe, L Steven Johnson, Matthew Jones, Thomas A Jones, Ann Joy, Michael Kamal, Elinor K Karlsson, Donna Karolchik, Arkadiusz Kasprzyk, Jun Kawai, Evan Keibler, Cristyn Kells, W James Kent, Andrew Kirby, Diana L Kolbe, Ian Korf, Raju S Kucherlapati, Edward J Kulbokas, David Kulp, Tom Landers, J P Leger, Steven Leonard, Ivica Letunic, Rosie Levine, Jia Li, Ming Li, Christine Lloyd, Susan Lucas, Bin Ma, Donna R Maglott, Elaine R Mardis, Lucy Matthews, Evan Mauceli, John H Mayer, Megan McCarthy, W Richard McCombie, Stuart McLaren, Kirsten McLay, John D McPherson, Jim Meldrim, Beverley Meredith, Jill P Mesirov, Webb Miller, Tracie L Miner, Emmanuel Mongin, Kate T Montgomery, Michael Morgan, Richard Mott, James C Mullikin, Donna M Muzny, William E Nash, Joanne O Nelson, Michael N Nhan, Robert Nicol, Zemin Ning, Chad Nusbaum, Michael J O'Connor, Yasushi Okazaki, Karen Oliver, Emma Overton-Larty, Lior Pachter, Genís Parra, Kymberlie H Pepin, Jane Peterson, Pavel Pevzner, Robert Plumb, Craig S Pohl, Alex Poliakov, Tracy C Ponce, Chris P Ponting, Simon Potter, Michael Quail, Alexandre Reymond, Bruce A Roe, Krishna M Roskin, Edward M Rubin, Alistair G Rust, Ralph Santos, Victor Sapojnikov, Brian Schultz, Jörg Schultz, Matthias S Schwartz, Scott Schwartz, Carol Scott, Steven Seaman, Steve Searle, Ted Sharpe, Andrew Sheridan, Ratna Shownkeen, Sarah Sims, Jonathan B Singer, Guy Slater, Arian Smit, Douglas R Smith, Brian Spencer, Arne Stabenau, Nicole Stange-Thomann, Charles Sugnet, Mikita Suyama, Glenn Tesler, Johanna Thompson, David Torrents, Evanne Trevaskis, John Tromp, Catherine Ucla, Abel Ureta-Vidal, Jade P Vinson, Andrew C Von Niederhausern, Claire M Wade, Melanie Wall, Ryan J Weber, Robert B Weiss, Michael C Wendl, Anthony P West, Kris Wetterstrand, Raymond Wheeler, Simon Whelan, Jamey Wierzbowski, David Willey, Sophie Williams, Richard K Wilson, Eitan Winter, Kim C Worley, Dudley Wyman, Shan Yang, Shiaw-Pyng Yang, Evgeny M Zdobnov, Michael C Zody, Eric S Lander","No"
"5407","Barcelona Supercomputing Center (BSC-CNS)","ISCB's initial reaction to New England Journal of Medicine editorial on data sharing.","10.1093/bioinformatics/btw090","2017","0","Bonnie Berger, Theresa Gaasterland, Thomas Lengauer, Christine A Orengo, Bruno Gaeta, Scott Markel, Alfonso Valencia","No"
"5408","Barcelona Supercomputing Center (BSC-CNS)","APPRIS WebServer and WebServices.","10.1093/nar/gkv512","2015","10","Jose Manuel Rodriguez, Angel Carro, Alfonso Valencia, Michael L Tress","Si"
"5409","Barcelona Supercomputing Center (BSC-CNS)","Alternative splicing and co-option of transposable elements: the case of TMPO/LAP2a and ZNF451 in mammals.","10.1093/bioinformatics/btv132","2015","5","Federico Abascal, Michael L Tress, Alfonso Valencia","No"
"5410","Barcelona Supercomputing Center (BSC-CNS)","The evolutionary fate of alternatively spliced homologous exons after gene duplication.","10.1093/gbe/evv076","2015","6","Federico Abascal, Michael L Tress, Alfonso Valencia","No"
"5411","Barcelona Supercomputing Center (BSC-CNS)","ISCB's Initial Reaction to The New England Journal of Medicine Editorial on Data Sharing.","10.1371/journal.pcbi.1004816","2016","5","Bonnie Berger, Terry Gaasterland, Thomas Lengauer, Christine Orengo, Bruno Gaeta, Scott Markel, Alfonso Valencia","No"
"5412","Barcelona Supercomputing Center (BSC-CNS)","FireDB: a compendium of biological and pharmacologically relevant ligands.","10.1093/nar/gkt1127","2014","5","Paolo Maietta, Gonzalo Lopez, Angel Carro, Benjamin J Pingilley, Leticia G Leon, Alfonso Valencia, Michael L Tress","Si"
"5413","Barcelona Supercomputing Center (BSC-CNS)","Information Retrieval and Text Mining Technologies for Chemistry.","10.1021/acs.chemrev.6b00851","2017","3","Martin Krallinger, Obdulia Rabal, Anália Lourenço, Julen Oyarzabal, Alfonso Valencia","No"
"5414","Barcelona Supercomputing Center (BSC-CNS)","The potential clinical impact of the release of two drafts of the human proteome.","10.1586/14789450.2015.1103186","2015","7","Iakes Ezkurdia, Enrique Calvo, Angela Del Pozo, Jesús Vázquez, Alfonso Valencia, Michael L Tress","Si"
"5415","Barcelona Supercomputing Center (BSC-CNS)","Emerging methods in protein co-evolution.","10.1038/nrg3414","2013","172","David de Juan, Florencio Pazos, Alfonso Valencia","No"
"5416","Barcelona Supercomputing Center (BSC-CNS)","Chromatin Regulators as a Guide for Cancer Treatment Choice.","10.1158/1535-7163.MCT-15-1008","2016","4","Zachary A Gurard-Levin, Laurence O W Wilson, Vera Pancaldi, Sophie Postel-Vinay, Fabricio G Sousa, Cecile Reyes, Elisabetta Marangoni, David Gentien, Alfonso Valencia, Yves Pommier, Paul Cottu, Geneviève Almouzni","No"
"5417","Barcelona Supercomputing Center (BSC-CNS)","Most highly expressed protein-coding genes have a single dominant isoform.","10.1021/pr501286b","2015","23","Iakes Ezkurdia, Jose Manuel Rodriguez, Enrique Carrillo-de Santa Pau, Jesús Vázquez, Alfonso Valencia, Michael L Tress","No"
"5418","Barcelona Supercomputing Center (BSC-CNS)","The Functional Genomics Network in the evolution of biological text mining over the past decade.","10.1016/j.nbt.2012.11.020","2013","3","Christian Blaschke, Alfonso Valencia","No"
"5419","Barcelona Supercomputing Center (BSC-CNS)","Detection of significant protein coevolution.","10.1093/bioinformatics/btv102","2015","6","David Ochoa, David Juan, Alfonso Valencia, Florencio Pazos","No"
"5420","Barcelona Supercomputing Center (BSC-CNS)","Epigenomic Co-localization and Co-evolution Reveal a Key Role for 5hmC as a Communication Hub in the Chromatin Network of ESCs.","10.1016/j.celrep.2016.01.008","2016","10","David Juan, Juliane Perner, Enrique Carrillo de Santa Pau, Simone Marsili, David Ochoa, Ho-Ryun Chung, Martin Vingron, Daniel Rico, Alfonso Valencia","No"
"5421","Barcelona Supercomputing Center (BSC-CNS)","Multiple evidence strands suggest that there may be as few as 19,000 human protein-coding genes.","10.1093/hmg/ddu309","2014","104","Iakes Ezkurdia, David Juan, Jose Manuel Rodriguez, Adam Frankish, Mark Diekhans, Jennifer Harrow, Jesus Vazquez, Alfonso Valencia, Michael L Tress","Si"
"5422","Barcelona Supercomputing Center (BSC-CNS)","From residue coevolution to protein conformational ensembles and functional dynamics.","10.1073/pnas.1508584112","2015","31","Ludovico Sutto, Simone Marsili, Alfonso Valencia, Francesco Luigi Gervasio","No"
"5423","Barcelona Supercomputing Center (BSC-CNS)","Integrating epigenomic data and 3D genomic structure with a new measure of chromatin assortativity.","10.1186/s13059-016-1003-3","2016","6","Vera Pancaldi, Enrique Carrillo-de-Santa-Pau, Biola Maria Javierre, David Juan, Peter Fraser, Mikhail Spivakov, Alfonso Valencia, Daniel Rico","No"
"5424","Barcelona Supercomputing Center (BSC-CNS)","BRCA1 is a novel regulator of metabolic function in skeletal muscle.","10.1194/jlr.M043851","2014","6","Kathryn C Jackson, Eva-Karin Gidlund, Jessica Norrbom, Ana P Valencia, David M Thomson, Rosemary A Schuh, P Darrell Neufer, Espen E Spangenburg","No"
"5425","Barcelona Supercomputing Center (BSC-CNS)","Molecular evidence for the inverse comorbidity between central nervous system disorders and cancers detected by transcriptomic meta-analyses.","10.1371/journal.pgen.1004173","2014","44","Kristina Ibáñez, César Boullosa, Rafael Tabarés-Seisdedos, Anaïs Baudot, Alfonso Valencia","No"
"5426","Barcelona Supercomputing Center (BSC-CNS)","Alternatively Spliced Homologous Exons Have Ancient Origins and Are Highly Expressed at the Protein Level.","10.1371/journal.pcbi.1004325","2015","14","Federico Abascal, Iakes Ezkurdia, Juan Rodriguez-Rivas, Jose Manuel Rodriguez, Angela del Pozo, Jesús Vázquez, Alfonso Valencia, Michael L Tress","Si"
"5427","Barcelona Supercomputing Center (BSC-CNS)","CHEMDNER: The drugs and chemical names extraction challenge.","10.1186/1758-2946-7-S1-S1","2015","15","Martin Krallinger, Florian Leitner, Obdulia Rabal, Miguel Vazquez, Julen Oyarzabal, Alfonso Valencia","No"
"5428","Barcelona Supercomputing Center (BSC-CNS)","Structure-PPi: a module for the annotation of cancer-related single-nucleotide variants at protein-protein interfaces.","10.1093/bioinformatics/btv142","2015","14","Miguel Vázquez, Alfonso Valencia, Tirso Pons","No"
"5429","Barcelona Supercomputing Center (BSC-CNS)","ChiTaRS 2.1--an improved database of the chimeric transcripts and RNA-seq data with novel sense-antisense chimeric RNA transcripts.","10.1093/nar/gku1199","2015","11","Milana Frenkel-Morgenstern, Alessandro Gorohovski, Dunja Vucenovic, Lorena Maestre, Alfonso Valencia","Si"
"5430","Barcelona Supercomputing Center (BSC-CNS)","Colorectal cancer classification based on gene expression is not associated with FOLFIRI response.","10.1038/nm.3701","2014","4","Raquel Martinez-Garcia, Pedro P Lopez-Casas, Daniel Rico, Alfonso Valencia, Manuel Hidalgo","No"
"5431","Barcelona Supercomputing Center (BSC-CNS)","Higher gene expression variability in the more aggressive subtype of chronic lymphocytic leukemia.","10.1186/s13073-014-0125-z","2015","10","Simone Ecker, Vera Pancaldi, Daniel Rico, Alfonso Valencia","No"
"5432","Barcelona Supercomputing Center (BSC-CNS)","Subfunctionalization via adaptive evolution influenced by genomic context: the case of histone chaperones ASF1a and ASF1b.","10.1093/molbev/mst086","2013","20","Federico Abascal, Armelle Corpet, Zachary A Gurard-Levin, David Juan, Françoise Ochsenbein, Daniel Rico, Alfonso Valencia, Geneviève Almouzni","No"
"5433","Barcelona Supercomputing Center (BSC-CNS)","wKinMut-2: Identification and Interpretation of Pathogenic Variants in Human Protein Kinases.","10.1002/humu.22914","2016","4","Miguel Vazquez, Tirso Pons, Søren Brunak, Alfonso Valencia, Jose M G Izarzugaza","No"
"5434","Barcelona Supercomputing Center (BSC-CNS)","APPRIS: annotation of principal and alternative splice isoforms.","10.1093/nar/gks1058","2013","46","Jose Manuel Rodriguez, Paolo Maietta, Iakes Ezkurdia, Alessandro Pietrelli, Jan-Jaap Wesselink, Gonzalo Lopez, Alfonso Valencia, Michael L Tress","Si"
"5435","Barcelona Supercomputing Center (BSC-CNS)","Somatic Embryonic FGFR2 Mutations in Keratinocytic Epidermal Nevi.","10.1016/j.jid.2016.03.040","2016","3","Agustí Toll, Luis C Fernández, Tirso Pons, Leopold Groesser, Ana Sagrera, Enrique Carrillo-de Santa Pau, Asunción Vicente, Eulàlia Baselga, Miguel Vázquez, Sergi Beltrán, David G Pisano, Daniel Rueda, Marta Gut, Ramon M Pujol, Christian Hafner, Ivo Gut, Alfonso Valencia, Francisco X Real","No"
"5436","Barcelona Supercomputing Center (BSC-CNS)","Incorporating information on predicted solvent accessibility to the co-evolution-based study of protein interactions.","10.1039/c2mb25325a","2013","2","David Ochoa, Ponciano García-Gutiérrez, David Juan, Alfonso Valencia, Florencio Pazos","No"
"5437","Barcelona Supercomputing Center (BSC-CNS)","Summary of the BioLINK SIG 2013 meeting at ISMB/ECCB 2013.","10.1093/bioinformatics/btu412","2015","0","Karin Verspoor, Hagit Shatkay, Lynette Hirschman, Christian Blaschke, Alfonso Valencia","No"
"5438","Barcelona Supercomputing Center (BSC-CNS)","KinMutRF: a random forest classifier of sequence variants in the human protein kinase superfamily.","10.1186/s12864-016-2723-1","2016","1","Tirso Pons, Miguel Vazquez, María Luisa Matey-Hernandez, Søren Brunak, Alfonso Valencia, Jose Mg Izarzugaza","No"
"5439","Barcelona Supercomputing Center (BSC-CNS)","Germline variation in the oxidative DNA repair genes NUDT1 and OGG1 is not associated with hereditary colorectal cancer or polyposis.","10.1002/humu.23564","2018","0","Pilar Mur, Ann-Sofie Jemth, Luka Bevc, Nuno Amaral, Matilde Navarro, Rafael Valdés-Mas, Tirso Pons, Gemma Aiza, Miguel Urioste, Alfonso Valencia, Conxi Lázaro, Victor Moreno, Xose S Puente, Pål Stenmark, Ulrika Warpman-Berglund, Gabriel Capellá, Thomas Helleday, Laura Valle","No"
"5440","Barcelona Supercomputing Center (BSC-CNS)","Getting personalized cancer genome analysis into the clinic: the challenges in bioinformatics.","10.1186/gm362","2012","15","Alfonso Valencia, Manuel Hidalgo","Si"
"5441","Barcelona Supercomputing Center (BSC-CNS)","BioCreative-IV virtual issue.","10.1093/database/bau039","2014","15","Cecilia N Arighi, Cathy H Wu, Kevin B Cohen, Lynette Hirschman, Martin Krallinger, Alfonso Valencia, Zhiyong Lu, John W Wilbur, Thomas C Wiegers","No"
"5442","Barcelona Supercomputing Center (BSC-CNS)","Alzheimer's disease and cancer: current epidemiological evidence for a mutual protection.","10.1159/000355899","2014","10","Ferrán Catalá-López, Benedicto Crespo-Facorro, Eduard Vieta, Jose M Valderas, Alfonso Valencia, Rafael Tabarés-Seisdedos","No"
"5443","Barcelona Supercomputing Center (BSC-CNS)","Defining functional distances over gene ontology.","10.1186/1471-2105-9-50","2008","31","Angela del Pozo, Florencio Pazos, Alfonso Valencia","No"
"5444","Barcelona Supercomputing Center (BSC-CNS)","CheNER: chemical named entity recognizer.","10.1093/bioinformatics/btt639","2014","2","Anabel Usié, Rui Alves, Francesc Solsona, Miguel Vázquez, Alfonso Valencia","No"
"5445","Barcelona Supercomputing Center (BSC-CNS)","A common structural scaffold in CTD phosphatases that supports distinct catalytic mechanisms.","10.1002/prot.24376","2014","0","Tirso Pons, Ida Paramonov, César Boullosa, Kristina Ibáñez, Ana M Rojas, Alfonso Valencia","No"
"5446","Barcelona Supercomputing Center (BSC-CNS)","Erratum to: The UBC-40 Urothelial Bladder Cancer Cell Line Index: a genomic resource for functional studies.","10.1186/s12864-015-2227-4","2015","0","Julie Earl, Daniel Rico, Enrique Carrillo-de-Santa-Pau, Benjamín Rodríguez-Santiago, Marinela Méndez-Pertuz, Herbert Auer, Gonzalo Gómez, H Barton Grossman, David G Pisano, Wolfgang A Schulz, Luis A Pérez-Jurado, Alfredo Carrato, Dan Theodorescu, Stephen Chanock, Alfonso Valencia, Francisco X Real","No"
"5447","Barcelona Supercomputing Center (BSC-CNS)","Towards a detailed atlas of protein-protein interactions.","10.1016/j.sbi.2013.07.005","2013","40","Roberto Mosca, Tirso Pons, Arnaud Céol, Alfonso Valencia, Patrick Aloy","No"
"5448","Barcelona Supercomputing Center (BSC-CNS)","Pathway and network analysis of cancer genomes.","10.1038/nmeth.3440","2015","76","Pau Creixell, Jüri Reimand, Syed Haider, Guanming Wu, Tatsuhiro Shibata, Miguel Vazquez, Ville Mustonen, Abel Gonzalez-Perez, John Pearson, Chris Sander, Benjamin J Raphael, Debora S Marks, B F Francis Ouellette, Alfonso Valencia, Gary D Bader, Paul C Boutros, Joshua M Stuart, Rune Linding, Nuria Lopez-Bigas, Lincoln D Stein","No"
"5449","Barcelona Supercomputing Center (BSC-CNS)","The UBC-40 Urothelial Bladder Cancer cell line index: a genomic resource for functional studies.","10.1186/s12864-015-1450-3","2015","13","Julie Earl, Daniel Rico, Enrique Carrillo-de-Santa-Pau, Benjamín Rodríguez-Santiago, Marinela Méndez-Pertuz, Herbert Auer, Gonzalo Gómez, Herbert Barton Grossman, David G Pisano, Wolfgang A Schulz, Luis A Pérez-Jurado, Alfredo Carrato, Dan Theodorescu, Stephen Chanock, Alfonso Valencia, Francisco X Real","No"
"5450","Barcelona Supercomputing Center (BSC-CNS)","RUbioSeq: a suite of parallelized pipelines to automate exome variation and bisulfite-seq analyses.","10.1093/bioinformatics/btt203","2013","16","Miriam Rubio-Camarillo, Gonzalo Gómez-López, José M Fernández, Alfonso Valencia, David G Pisano","Si"
"5451","Barcelona Supercomputing Center (BSC-CNS)","Text-mining and information-retrieval services for molecular biology.","10.1186/gb-2005-6-7-224","2005","72","Martin Krallinger, Alfonso Valencia","No"
"5452","Barcelona Supercomputing Center (BSC-CNS)","EnrichNet: network-based gene set enrichment analysis.","10.1093/bioinformatics/bts389","2012","92","Enrico Glaab, Anaïs Baudot, Natalio Krasnogor, Reinhard Schneider, Alfonso Valencia","No"
"5453","Barcelona Supercomputing Center (BSC-CNS)","Automatic annotation of protein function.","10.1016/j.sbi.2005.05.010","2005","56","Alfonso Valencia","No"
"5454","Barcelona Supercomputing Center (BSC-CNS)","FUN-L: gene prioritization for RNAi screens.","10.1093/bioinformatics/btv073","2015","2","Jonathan G Lees, Jean-Karim Hériché, Ian Morilla, José M Fernández, Priit Adler, Martin Krallinger, Jaak Vilo, Alfonso Valencia, Jan Ellenberg, Juan A Ranea, Christine Orengo","No"
"5455","Barcelona Supercomputing Center (BSC-CNS)","The CHEMDNER corpus of chemicals and drugs and its annotation principles.","10.1186/1758-2946-7-S1-S2","2015","13","Martin Krallinger, Obdulia Rabal, Florian Leitner, Miguel Vazquez, David Salgado, Zhiyong Lu, Robert Leaman, Yanan Lu, Donghong Ji, Daniel M Lowe, Roger A Sayle, Riza Theresa Batista-Navarro, Rafal Rak, Torsten Huber, Tim Rocktäschel, Sérgio Matos, David Campos, Buzhou Tang, Hua Xu, Tsendsuren Munkhdalai, Keun Ho Ryu, S V Ramanan, Senthil Nathan, Slavko Žitnik, Marko Bajec, Lutz Weber, Matthias Irmer, Saber A Akhondi, Jan A Kors, Shuo Xu, Xin An, Utpal Kumar Sikdar, Asif Ekbal, Masaharu Yoshioka, Thaer M Dieb, Miji Choi, Karin Verspoor, Madian Khabsa, C Lee Giles, Hongfang Liu, Komandur Elayavilli Ravikumar, Andre Lamurias, Francisco M Couto, Hong-Jie Dai, Richard Tzong-Han Tsai, Caglar Ata, Tolga Can, Anabel Usié, Rui Alves, Isabel Segura-Bedmar, Paloma Martínez, Julen Oyarzabal, Alfonso Valencia","No"
"5456","Barcelona Supercomputing Center (BSC-CNS)","The pseudo GTPase CENP-M drives human kinetochore assembly.","10.7554/eLife.02978","2014","44","Federica Basilico, Stefano Maffini, John R Weir, Daniel Prumbaum, Ana M Rojas, Tomasz Zimniak, Anna De Antoni, Sadasivam Jeganathan, Beate Voss, Suzan van Gerwen, Veronica Krenn, Lucia Massimiliano, Alfonso Valencia, Ingrid R Vetter, Franz Herzog, Stefan Raunser, Sebastiano Pasqualato, Andrea Musacchio","No"
"5457","Barcelona Supercomputing Center (BSC-CNS)","Protein interaction: same network, different hubs.","10.1016/j.tig.2003.10.011","2003","11","Robert Hoffmann, Alfonso Valencia","No"
